objectID;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
114;20143;6;48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;9.13965977572011;45.444145284489615;(45.444145284489615, 9.13965977572011)
3423;20149;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.14590059900364;45.48730499557904;(45.48730499557904, 9.14590059900364)
2963;20156;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.140203774801243;45.500672494774896;(45.500672494774896, 9.140203774801243)
443;20149;7;58;DE ANGELI - MONTE ROSA;9.148861821341825;45.47289288048247;(45.47289288048247, 9.148861821341825)
108;20155;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.151754298842366;45.49704005786174;(45.49704005786174, 9.151754298842366)
480;20156;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.147962348238845;45.49926740695274;(45.49926740695274, 9.147962348238845)
25113;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.148748389730246;45.513322254634865;(45.513322254634865, 9.148748389730246)
4185;20157;9;81;BOVISASCA;9.15246952776967;45.51448338269313;(45.51448338269313, 9.15246952776967)
528;20146;6;49;GIAMBELLINO;9.153447056822822;45.45250467521498;(45.45250467521498, 9.153447056822822)
448;20144;6;50;PORTA GENOVA;9.15860375620822;45.45323810806546;(45.45323810806546, 9.15860375620822)
405;20146;7;51;PORTA MAGENTA;9.15328564383771;45.46095905144376;(45.46095905144376, 9.15328564383771)
5388;20145;8;59;TRE TORRI;9.155150723428973;45.47552822812433;(45.47552822812433, 9.155150723428973)
5830;20145;8;59;TRE TORRI;9.158345013489392;45.47617016244376;(45.47617016244376, 9.158345013489392)
426;20161;9;81;BOVISASCA;9.156441471151343;45.51713969058501;(45.51713969058501, 9.156441471151343)
20;20142;6;46;BARONA;9.163469758298987;45.43165499796543;(45.43165499796543, 9.163469758298987)
33919;20144;6;50;PORTA GENOVA;9.165186014035388;45.457783680871415;(45.457783680871415, 9.165186014035388)
2173;20145;8;68;PAGANO;9.16020254189124;45.47463846019263;(45.47463846019263, 9.16020254189124)
440;20145;8;68;PAGANO;9.160998858408055;45.47774759843004;(45.47774759843004, 9.160998858408055)
5418;20155;8;70;GHISOLFA;9.16141981295041;45.494878446782785;(45.494878446782785, 9.16141981295041)
339;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.168980148637996;45.41407562216043;(45.41407562216043, 9.168980148637996)
945;20142;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.168494145100633;45.42498598563707;(45.42498598563707, 9.168494145100633)
536;20123;1;7;MAGENTA - S. VITTORE;9.170238076778446;45.46619904434114;(45.46619904434114, 9.170238076778446)
2176;20161;9;83;BRUZZANO;9.17092750290004;45.52886713663653;(45.52886713663653, 9.17092750290004)
4215;20161;9;83;BRUZZANO;9.171077700060037;45.53054686533517;(45.53054686533517, 9.171077700060037)
31;20141;5;43;TIBALDI;9.178328846506952;45.44053821167032;(45.44053821167032, 9.178328846506952)
20710;20123;1;1;DUOMO;9.178089866560123;45.46473032685932;(45.46473032685932, 9.178089866560123)
28314;20158;9;79;DERGANO;9.173653311301491;45.500719861638515;(45.500719861638515, 9.173653311301491)
335;20158;9;79;DERGANO;9.172458646098583;45.50646555364727;(45.50646555364727, 9.172458646098583)
2147;20161;9;80;AFFORI;9.175008489371594;45.50766106361663;(45.50766106361663, 9.175008489371594)
10285;20161;9;83;BRUZZANO;9.175502699297178;45.524307410100114;(45.524307410100114, 9.175502699297178)
324;20161;9;83;BRUZZANO;9.174368147149565;45.52653476928569;(45.52653476928569, 9.174368147149565)
2158;20142;5;40;RONCHETTO DELLE RANE;9.180814581681114;45.40273866784504;(45.40273866784504, 9.180814581681114)
35;20141;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.183835774690074;45.433489292497754;(45.433489292497754, 9.183835774690074)
